DEBUG:root:{'pid': 95150, 'executed': '1552425006.91965', 'result': 962306828.7554939, 'completed': '1552425025.636823', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 63, 'scheduled': '1552425006.817568', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95184, 'executed': '1552425006.963402', 'result': 1015396667.3688151, 'completed': '1552425025.635843', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 97, 'scheduled': '1552425006.848376', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95152, 'executed': '1552425006.92721', 'result': 993773949.1751909, 'completed': '1552425025.638895', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 65, 'scheduled': '1552425006.8337212', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95167, 'executed': '1552425006.941889', 'result': 1040046235.2205294, 'completed': '1552425025.6397781', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 80, 'scheduled': '1552425006.8469079', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95114, 'executed': '1552425006.865503', 'result': 967623078.4591523, 'completed': '1552425025.728678', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 27, 'scheduled': '1552425006.765792', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95183, 'executed': '1552425006.963142', 'result': 1014643887.5018332, 'completed': '1552425025.728575', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 96, 'scheduled': '1552425006.8482938', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95112, 'executed': '1552425006.862578', 'result': 978512620.6328045, 'completed': '1552425025.7410078', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 25, 'scheduled': '1552425006.765558', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95169, 'executed': '1552425006.944329', 'result': 1016328527.8109328, 'completed': '1552425025.534496', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 82, 'scheduled': '1552425006.847093', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95148, 'executed': '1552425006.9188402', 'result': 955707094.6422597, 'completed': '1552425025.7718332', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 61, 'scheduled': '1552425006.81617', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95127, 'executed': '1552425006.885837', 'result': 1007710530.0851555, 'completed': '1552425025.772177', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 40, 'scheduled': '1552425006.768055', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95132, 'executed': '1552425006.894009', 'result': 957216939.207773, 'completed': '1552425025.780782', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 45, 'scheduled': '1552425006.775455', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95134, 'executed': '1552425006.896866', 'result': 943143868.8873678, 'completed': '1552425025.805187', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 47, 'scheduled': '1552425006.776006', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95181, 'executed': '1552425006.962467', 'result': 1000238588.8542596, 'completed': '1552425025.813201', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 94, 'scheduled': '1552425006.8481228', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95131, 'executed': '1552425006.888252', 'result': 956117543.2506096, 'completed': '1552425025.821087', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 44, 'scheduled': '1552425006.7752829', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
