DEBUG:root:{'pid': 93661, 'executed': '1552420742.912417', 'result': 12557484131.910604, 'completed': '1552420744.357996', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 25, 'scheduled': '1552420740.042109', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93667, 'executed': '1552420742.9231', 'result': 13057221212.02963, 'completed': '1552420744.360068', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 28, 'scheduled': '1552420740.042367', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93669, 'executed': '1552420742.917471', 'result': 12520328235.712507, 'completed': '1552420744.395215', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 26, 'scheduled': '1552420740.042201', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93664, 'executed': '1552420744.173183', 'result': 13770088793.461824, 'completed': '1552420745.517109', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 31, 'scheduled': '1552420740.0426161', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93665, 'executed': '1552420744.283644', 'result': 13235594475.08957, 'completed': '1552420745.637998', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 32, 'scheduled': '1552420740.042697', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93666, 'executed': '1552420744.346459', 'result': 13560714175.903717, 'completed': '1552420745.681534', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 34, 'scheduled': '1552420740.04286', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93670, 'executed': '1552420744.347444', 'result': 13418196553.149069, 'completed': '1552420745.689742', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 35, 'scheduled': '1552420740.04294', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93662, 'executed': '1552420744.3445199', 'result': 13813094130.567032, 'completed': '1552420745.6903129', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 33, 'scheduled': '1552420740.042779', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93661, 'executed': '1552420744.358455', 'result': 13308236706.49629, 'completed': '1552420745.711694', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 38, 'scheduled': '1552420740.043194', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93667, 'executed': '1552420744.360524', 'result': 13526922974.29685, 'completed': '1552420745.71423', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 39, 'scheduled': '1552420740.0432808', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93663, 'executed': '1552420744.35256', 'result': 13486561844.65641, 'completed': '1552420745.723409', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 37, 'scheduled': '1552420740.043113', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93668, 'executed': '1552420744.3513138', 'result': 13199172201.081785, 'completed': '1552420745.724436', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 36, 'scheduled': '1552420740.043029', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93669, 'executed': '1552420744.4030368', 'result': 13512869729.397518, 'completed': '1552420745.802285', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 40, 'scheduled': '1552420740.043363', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93664, 'executed': '1552420745.517344', 'result': 12671162512.98467, 'completed': '1552420746.977519', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 41, 'scheduled': '1552420740.043445', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93670, 'executed': '1552420745.690094', 'result': 12835684400.832287, 'completed': '1552420747.140426', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 44, 'scheduled': '1552420740.043735', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93665, 'executed': '1552420745.6384041', 'result': 11465406846.65293, 'completed': '1552420747.195561', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 42, 'scheduled': '1552420740.043537', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93666, 'executed': '1552420745.681835', 'result': 12114015765.209547, 'completed': '1552420747.218355', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 43, 'scheduled': '1552420740.043632', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93663, 'executed': '1552420745.7240388', 'result': 11941975579.274418, 'completed': '1552420747.235799', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 48, 'scheduled': '1552420740.0444999', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93662, 'executed': '1552420745.69061', 'result': 11788524869.927286, 'completed': '1552420747.246739', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 45, 'scheduled': '1552420740.044086', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93661, 'executed': '1552420745.71196', 'result': 11885151565.141321, 'completed': '1552420747.2549791', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 46, 'scheduled': '1552420740.0442429', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93668, 'executed': '1552420745.724725', 'result': 11597988333.368143, 'completed': '1552420747.287912', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 49, 'scheduled': '1552420740.0446248', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93667, 'executed': '1552420745.714448', 'result': 11556241860.031363, 'completed': '1552420747.291699', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 47, 'scheduled': '1552420740.044375', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93669, 'executed': '1552420745.802633', 'result': 11152465145.12741, 'completed': '1552420747.4608939', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 50, 'scheduled': '1552420740.047471', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93664, 'executed': '1552420746.977751', 'result': 10840209590.088886, 'completed': '1552420748.649693', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 51, 'scheduled': '1552420740.047607', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93670, 'executed': '1552420747.1406689', 'result': 11385878674.865732, 'completed': '1552420748.765537', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 52, 'scheduled': '1552420740.047722', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93665, 'executed': '1552420747.195937', 'result': 10478431253.746744, 'completed': '1552420748.938575', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 53, 'scheduled': '1552420740.047822', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93661, 'executed': '1552420747.2614138', 'result': 10704488182.246794, 'completed': '1552420748.957645', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 57, 'scheduled': '1552420740.05691', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93663, 'executed': '1552420747.2409291', 'result': 10628949800.494461, 'completed': '1552420748.960335', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 55, 'scheduled': '1552420740.056629', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93666, 'executed': '1552420747.2396212', 'result': 10592981884.0037, 'completed': '1552420748.9864829', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 54, 'scheduled': '1552420740.047915', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93667, 'executed': '1552420747.2925959', 'result': 11031008799.678387, 'completed': '1552420748.995805', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 59, 'scheduled': '1552420740.0587919', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93668, 'executed': '1552420747.288451', 'result': 11045589647.077785, 'completed': '1552420749.013144', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 58, 'scheduled': '1552420740.057018', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93662, 'executed': '1552420747.246973', 'result': 10177841908.787325, 'completed': '1552420749.014653', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 56, 'scheduled': '1552420740.056792', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93669, 'executed': '1552420747.4611971', 'result': 11130354775.751688, 'completed': '1552420749.169301', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 60, 'scheduled': '1552420740.058924', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 93664, 'executed': '1552420748.649954', 'result': 10726557875.839584, 'completed': '1552420750.399528', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '72e902a7-926e-4d51-a672-a0428faa608f', 'task_id': 61, 'scheduled': '1552420740.059031', 'worker_id': 'a382a5c2-19ba-414d-b44d-1c99535402a3', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
