DEBUG:root:{'pid': 92714, 'executed': '1552417164.1399539', 'result': 13477833785.401619, 'completed': '1552417165.486558', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 25, 'scheduled': '1552417160.9551098', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417164.1380951', 'result': 13356482259.980381, 'completed': '1552417165.493008', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 23, 'scheduled': '1552417160.954766', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417164.135096', 'result': 13218355974.530966, 'completed': '1552417165.4963222', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 22, 'scheduled': '1552417160.9545631', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417164.144542', 'result': 13685931763.29118, 'completed': '1552417165.4965591', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 29, 'scheduled': '1552417160.9557812', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417164.1429691', 'result': 13431187198.888477, 'completed': '1552417165.503907', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 27, 'scheduled': '1552417160.9554272', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92719, 'executed': '1552417164.1591098', 'result': 13412289804.835535, 'completed': '1552417165.497694', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 30, 'scheduled': '1552417160.955968', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417164.143391', 'result': 13256279150.931059, 'completed': '1552417165.516077', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 28, 'scheduled': '1552417160.955623', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92711, 'executed': '1552417164.624052', 'result': 14938848197.89264, 'completed': '1552417165.921906', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 31, 'scheduled': '1552417160.956128', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417165.465373', 'result': 12224151196.038593, 'completed': '1552417166.949365', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 32, 'scheduled': '1552417160.956352', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417165.496594', 'result': 12427421339.165403, 'completed': '1552417166.982371', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 36, 'scheduled': '1552417160.956982', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
